Facility Name,Cases,Fatalities,type,date,
Greenville Skilled Nursing & Rehabilitation (Greenville),75 to 79,20 to 24,nursing home,2020-07-10
Greenwood Center (Warwick),2 to 4,0,nursing home,2020-07-10
Hallworth House (Providence),25 to 29,10 to 14,nursing home,2020-07-10
Harris Health Care Center North (Central Falls),20 to 24,Fewer than five,nursing home,2020-07-10
Hebert Nursing Home (Smithfield),2 to 4,0,nursing home,2020-07-10
Heritage Hills (Smithfield),5 to 9,0,nursing home,2020-07-10
Holiday Retirement Home (Manville),95 to 99,20 to 24,nursing home,2020-07-10
Hopkins Manor (North Providence),105 to 109,20 to 24,nursing home,2020-07-10
Kent Regency (Warwick),25 to 29,Fewer than five,nursing home,2020-07-10
Linn Health & Rehab Center (East Providence),35 to 39,10 to 14,nursing home,2020-07-10
Morgan Health Center Nursing and Rehab (Johnston),20 to 24,5 to 9,nursing home,2020-07-10
Mount St. Rita (Cumberland),75 to 79,20 to 24,nursing home,2020-07-10
Oak Hill Health Center (Pawtucket),80 to 84,25 to 29,nursing home,2020-07-10
Oakland Grove Health Center (Woonsocket),75 to 79,20 to 24,nursing home,2020-07-10
Orchard View Manor (East Providence),135 to 139,45 to 49,nursing home,2020-07-10
Rhode Island Veterans Home (Bristol),15 to 19,5 to 9,nursing home,2020-07-10
Riverview Healthcare Community (Coventry),60 to 64,10 to 14,nursing home,2020-07-10
Saint Antoine Residence (North Smithfield),65 to 69,20 to 24,nursing home,2020-07-10
Saint Elizabeth Manor East Bay (Bristol),10 to 14,Fewer than five,nursing home,2020-07-10
Scalabrini Villa (North Kingstown),70 to 74,20 to 24,nursing home,2020-07-10
Silver Creek Manor (Bristol),2 to 4,0,nursing home,2020-07-10
South County Nursing Center (North Kingstown),80 to 84,25 to 29,nursing home,2020-07-10
South Kingstown Center (West Kingston),20 to 24,5 to 9,nursing home,2020-07-10
Steere House Nursing and Rehab (Providence),75 to 79,20 to 24,nursing home,2020-07-10
Stillwater Skilled Nursing (Greenville),60 to 64,20 to 24,nursing home,2020-07-10
Summit Commons (Providence),105 to 109,25 to 29,nursing home,2020-07-10
Trinity Health Center (Woonsocket),20 to 24,Fewer than five,nursing home,2020-07-10
Village House Nursing and Rehab (Newport),2 to 4,0,nursing home,2020-07-10
Waterview Villa (East Providence),45 to 49,10 to 14,nursing home,2020-07-10
West Shore Health Center (Warwick),105 to 109,40 to 44,nursing home,2020-07-10
West View Nursing Center (West Warwick),60 to 64,15 to 19,nursing home,2020-07-10
Woonsocket Health Center (Woonsocket),85 to 89,20 to 24,nursing home,2020-07-10
Total,2660 to 2664,735 to 739,nursing home,2020-07-10
Brentwood by the Bay (Warwick),2 to 4,0,assisted living,2020-07-10
Capitol Ridge at Providence (Providence),20 to 24,5 to 9,assisted living,2020-07-10
Darlington Memory Lane (North Providence - 1073 Mineral Spring),55 to 59,10 to 14,assisted living,2020-07-10
Highlands on the East Side (Providence),15 to 19,Fewer than five,assisted living,2020-07-10
Lighthouse at Lincoln (Lincoln),15 to 19,Fewer than five,assisted living,2020-07-10
Spring Villa Memory Care (West Warwick),15 to 19,Fewer than five,assisted living,2020-07-10
Stillwater Assisted Living (Greenville),5 to 9,Fewer than five,assisted living,2020-07-10
"The Village at Waterman Lake - The Lodge
 (Smithfield)",2 to 4,0,assisted living,2020-07-10
Wingate Assisted Living - Blackstone Boulevard (Providence),20 to 24,5 to 9,assisted living,2020-07-10
Wingate Assisted Living - Residences on the East Side (Providence),15 to 19,Fewer than five,assisted living,2020-07-10
Total,175 to 179,40 to 44,assisted living,2020-07-10
Ballou Home (Woonsocket),5 to 9,0,nursing home,2020-07-24
Bannister House (Providence),35 to 39,Fewer than five,nursing home,2020-07-24
Berkshire Place (Providence),165 to 169,35 to 39,nursing home,2020-07-24
Bethany Home (Providence),15 to 19,5 to 9,nursing home,2020-07-24
Brentwood Nursing Home (Warwick),35 to 39,10 to 14,nursing home,2020-07-24
Briarcliffe Manor (Johnston),65 to 69,20 to 24,nursing home,2020-07-24
Brookdale Sakonnet Bay (Tiverton),10 to 14,Fewer than five,nursing home,2020-07-24
Cedar Crest (Cranston),2 to 4,0,nursing home,2020-07-24
Charlesgate Nursing Center (Providence),75 to 79,10 to 14,nursing home,2020-07-24
Cherry Hill Manor (Johnston),75 to 79,20 to 24,nursing home,2020-07-24
Crestwood Nursing & Rehab (Warren),15 to 19,Fewer than five,nursing home,2020-07-24
Crystal Lake Rehabilitation & Care Center (Burrillville),40 to 44,15 to 19,nursing home,2020-07-24
Eastgate Nursing & Rehab (East Providence),40 to 44,10 to 14,nursing home,2020-07-24
Elmhurst Healthcare Center (Providence),60 to 64,20 to 24,nursing home,2020-07-24
Elmwood Nursing and Rehab Center (Providence),45 to 49,5 to 9,nursing home,2020-07-24
Evergreen House Health Center (East Providence),110 to 114,15 to 19,nursing home,2020-07-24
Friendly Home (Woonsocket),60 to 64,15 to 19,nursing home,2020-07-24
Golden Crest (North Providence),95 to 99,35 to 39,nursing home,2020-07-24
Grace Barker Nursing Home (Warren),2 to 4,0,nursing home,2020-07-24
Grand Islander (Middletown),2 to 4,Fewer than five,nursing home,2020-07-24
Greenville Skilled Nursing & Rehabilitation (Greenville),75 to 79,20 to 24,nursing home,2020-07-24
Greenwood Center (Warwick),2 to 4,0,nursing home,2020-07-24
Hallworth House (Providence),25 to 29,10 to 14,nursing home,2020-07-24
Harris Health Care Center North (Central Falls),20 to 24,Fewer than five,nursing home,2020-07-24
Hebert Nursing Home (Smithfield),2 to 4,0,nursing home,2020-07-24
Heritage Hills (Smithfield),5 to 9,0,nursing home,2020-07-24
Holiday Retirement Home (Manville),95 to 99,25 to 29,nursing home,2020-07-24
Hopkins Manor (North Providence),105 to 109,20 to 24,nursing home,2020-07-24
Kent Regency (Warwick),25 to 29,Fewer than five,nursing home,2020-07-24
Linn Health & Rehab Center (East Providence),35 to 39,10 to 14,nursing home,2020-07-24
Morgan Health Center Nursing and Rehab (Johnston),25 to 29,5 to 9,nursing home,2020-07-24
Mount St. Rita (Cumberland),75 to 79,20 to 24,nursing home,2020-07-24
Oak Hill Health Center (Pawtucket),75 to 79,25 to 29,nursing home,2020-07-24
Oakland Grove Health Center (Woonsocket),75 to 79,20 to 24,nursing home,2020-07-24
Orchard View Manor (East Providence),135 to 139,45 to 49,nursing home,2020-07-24
Rhode Island Veterans Home (Bristol),15 to 19,5 to 9,nursing home,2020-07-24
Riverview Healthcare Community (Coventry),60 to 64,10 to 14,nursing home,2020-07-24
Saint Antoine Residence (North Smithfield),65 to 69,20 to 24,nursing home,2020-07-24
Saint Elizabeth Manor East Bay (Bristol),10 to 14,Fewer than five,nursing home,2020-07-24
Scalabrini Villa (North Kingstown),70 to 74,20 to 24,nursing home,2020-07-24
Silver Creek Manor (Bristol),2 to 4,0,nursing home,2020-07-24
South County Nursing Center (North Kingstown),80 to 84,25 to 29,nursing home,2020-07-24
South Kingstown Center (West Kingston),20 to 24,5 to 9,nursing home,2020-07-24
Steere House Nursing and Rehab (Providence),75 to 79,20 to 24,nursing home,2020-07-24
Stillwater Skilled Nursing (Greenville),60 to 64,20 to 24,nursing home,2020-07-24
Summit Commons (Providence),105 to 109,25 to 29,nursing home,2020-07-24
Trinity Health Center (Woonsocket),20 to 24,Fewer than five,nursing home,2020-07-24
Village House Nursing and Rehab (Newport),2 to 4,0,nursing home,2020-07-24
Waterview Villa (East Providence),45 to 49,10 to 14,nursing home,2020-07-24
West Shore Health Center (Warwick),105 to 109,40 to 44,nursing home,2020-07-24
West View Nursing Center (West Warwick),65 to 69,15 to 19,nursing home,2020-07-24
Woonsocket Health Center (Woonsocket),85 to 89,20 to 24,nursing home,2020-07-24
Total,2695 to 2699,745 to 749,nursing home,2020-07-24
Brentwood by the Bay (Warwick),2 to 4,0,assisted living,2020-07-24
Capitol Ridge at Providence (Providence),20 to 24,5 to 9,assisted living,2020-07-24
Darlington Memory Lane (North Providence - 1073 Mineral Spring),55 to 59,10 to 14,assisted living,2020-07-24
Highlands on the East Side (Providence),15 to 19,Fewer than five,assisted living,2020-07-24
Lighthouse at Lincoln (Lincoln),15 to 19,Fewer than five,assisted living,2020-07-24
Spring Villa Memory Care (West Warwick),15 to 19,Fewer than five,assisted living,2020-07-24
Stillwater Assisted Living (Greenville),5 to 9,Fewer than five,assisted living,2020-07-24
"The Village at Waterman Lake - The Lodge
 (Smithfield)",2 to 4,0,assisted living,2020-07-24
Wingate Assisted Living - Blackstone Boulevard (Providence),20 to 24,10 to 14,assisted living,2020-07-24
Wingate Assisted Living - Residences on the East Side (Providence),15 to 19,Fewer than five,assisted living,2020-07-24
Total,175 to 179,45 to 49,assisted living,2020-07-24
Ballou Home (Woonsocket),5 to 9,0,nursing home,2020-07-29
Bannister House (Providence),45 to 49,Fewer than five,nursing home,2020-07-29
Berkshire Place (Providence),165 to 169,35 to 39,nursing home,2020-07-29
Bethany Home (Providence),15 to 19,5 to 9,nursing home,2020-07-29
Brentwood Nursing Home (Warwick),35 to 39,10 to 14,nursing home,2020-07-29
Briarcliffe Manor (Johnston),65 to 69,20 to 24,nursing home,2020-07-29
Brookdale Sakonnet Bay (Tiverton),10 to 14,Fewer than five,nursing home,2020-07-29
Cedar Crest (Cranston),2 to 4,0,nursing home,2020-07-29
Charlesgate Nursing Center (Providence),75 to 79,10 to 14,nursing home,2020-07-29
Cherry Hill Manor (Johnston),75 to 79,25 to 29,nursing home,2020-07-29
Crestwood Nursing & Rehab (Warren),15 to 19,Fewer than five,nursing home,2020-07-29
Crystal Lake Rehabilitation & Care Center (Burrillville),40 to 44,15 to 19,nursing home,2020-07-29
Eastgate Nursing & Rehab (East Providence),40 to 44,10 to 14,nursing home,2020-07-29
Elmhurst Healthcare Center (Providence),60 to 64,20 to 24,nursing home,2020-07-29
Elmwood Nursing and Rehab Center (Providence),45 to 49,5 to 9,nursing home,2020-07-29
Evergreen House Health Center (East Providence),110 to 114,15 to 19,nursing home,2020-07-29
Friendly Home (Woonsocket),60 to 64,15 to 19,nursing home,2020-07-29
Golden Crest (North Providence),95 to 99,35 to 39,nursing home,2020-07-29
Grace Barker Nursing Home (Warren),2 to 4,0,nursing home,2020-07-29
Grand Islander (Middletown),2 to 4,Fewer than five,nursing home,2020-07-29
Greenville Skilled Nursing & Rehabilitation (Greenville),75 to 79,20 to 24,nursing home,2020-07-29
Greenwood Center (Warwick),2 to 4,0,nursing home,2020-07-29
Hallworth House (Providence),25 to 29,10 to 14,nursing home,2020-07-29
Harris Health Care Center North (Central Falls),20 to 24,Fewer than five,nursing home,2020-07-29
Hebert Nursing Home (Smithfield),2 to 4,0,nursing home,2020-07-29
Heritage Hills (Smithfield),5 to 9,0,nursing home,2020-07-29
Holiday Retirement Home (Manville),95 to 99,25 to 29,nursing home,2020-07-29
Hopkins Manor (North Providence),105 to 109,20 to 24,nursing home,2020-07-29
Kent Regency (Warwick),25 to 29,Fewer than five,nursing home,2020-07-29
Linn Health & Rehab Center (East Providence),35 to 39,10 to 14,nursing home,2020-07-29
Morgan Health Center Nursing and Rehab (Johnston),25 to 29,5 to 9,nursing home,2020-07-29
Mount St. Rita (Cumberland),75 to 79,20 to 24,nursing home,2020-07-29
Oak Hill Health Center (Pawtucket),75 to 79,25 to 29,nursing home,2020-07-29
Oakland Grove Health Center (Woonsocket),75 to 79,20 to 24,nursing home,2020-07-29
Orchard View Manor (East Providence),135 to 139,45 to 49,nursing home,2020-07-29
Rhode Island Veterans Home (Bristol),15 to 19,5 to 9,nursing home,2020-07-29
Riverview Healthcare Community (Coventry),60 to 64,10 to 14,nursing home,2020-07-29
Saint Antoine Residence (North Smithfield),65 to 69,20 to 24,nursing home,2020-07-29
Saint Elizabeth Manor East Bay (Bristol),10 to 14,Fewer than five,nursing home,2020-07-29
Scalabrini Villa (North Kingstown),70 to 74,20 to 24,nursing home,2020-07-29
Silver Creek Manor (Bristol),2 to 4,0,nursing home,2020-07-29
South County Nursing Center (North Kingstown),80 to 84,25 to 29,nursing home,2020-07-29
South Kingstown Center (West Kingston),20 to 24,5 to 9,nursing home,2020-07-29
Steere House Nursing and Rehab (Providence),75 to 79,25 to 29,nursing home,2020-07-29
Stillwater Skilled Nursing (Greenville),60 to 64,20 to 24,nursing home,2020-07-29
Summit Commons (Providence),105 to 109,25 to 29,nursing home,2020-07-29
Trinity Health Center (Woonsocket),20 to 24,Fewer than five,nursing home,2020-07-29
Village House Nursing and Rehab (Newport),2 to 4,0,nursing home,2020-07-29
Waterview Villa (East Providence),45 to 49,10 to 14,nursing home,2020-07-29
West Shore Health Center (Warwick),105 to 109,40 to 44,nursing home,2020-07-29
West View Nursing Center (West Warwick),65 to 69,15 to 19,nursing home,2020-07-29
Woonsocket Health Center (Woonsocket),85 to 89,20 to 24,nursing home,2020-07-29
Total,2705 to 2709,750 to 754,nursing home,2020-07-29
"Anchor Bay at Greenwich 
 (East Greenwich)",2 to 4,0,assisted living,2020-07-29
Brentwood by the Bay (Warwick),2 to 4,0,assisted living,2020-07-29
Capitol Ridge at Providence (Providence),20 to 24,5 to 9,assisted living,2020-07-29
Darlington Memory Lane (North Providence - 1073 Mineral Spring),55 to 59,10 to 14,assisted living,2020-07-29
Highlands on the East Side (Providence),15 to 19,Fewer than five,assisted living,2020-07-29
Lighthouse at Lincoln (Lincoln),15 to 19,Fewer than five,assisted living,2020-07-29
Spring Villa Memory Care (West Warwick),15 to 19,Fewer than five,assisted living,2020-07-29
Stillwater Assisted Living (Greenville),5 to 9,Fewer than five,assisted living,2020-07-29
"The Village at Waterman Lake - The Lodge
 (Smithfield)",2 to 4,0,assisted living,2020-07-29
Wingate Assisted Living - Blackstone Boulevard (Providence),20 to 24,10 to 14,assisted living,2020-07-29
Wingate Assisted Living - Residences on the East Side (Providence),15 to 19,Fewer than five,assisted living,2020-07-29
Total,175 to 179,45 to 49,assisted living,2020-07-29
Ballou Home (Woonsocket),5 to 9,0,nursing home,2020-08-05
Bannister House (Providence),45 to 49,Fewer than five,nursing home,2020-08-05
Berkshire Place (Providence),165 to 169,35 to 39,nursing home,2020-08-05
Bethany Home (Providence),15 to 19,5 to 9,nursing home,2020-08-05
Brentwood Nursing Home (Warwick),35 to 39,10 to 14,nursing home,2020-08-05
Briarcliffe Manor (Johnston),65 to 69,20 to 24,nursing home,2020-08-05
Brookdale Sakonnet Bay (Tiverton),10 to 14,Fewer than five,nursing home,2020-08-05
Cedar Crest (Cranston),2 to 4,0,nursing home,2020-08-05
Charlesgate Nursing Center (Providence),75 to 79,10 to 14,nursing home,2020-08-05
Cherry Hill Manor (Johnston),75 to 79,25 to 29,nursing home,2020-08-05
Crestwood Nursing & Rehab (Warren),15 to 19,Fewer than five,nursing home,2020-08-05
Crystal Lake Rehabilitation & Care Center (Burrillville),40 to 44,15 to 19,nursing home,2020-08-05
Eastgate Nursing & Rehab (East Providence),40 to 44,10 to 14,nursing home,2020-08-05
Elmhurst Healthcare Center (Providence),60 to 64,20 to 24,nursing home,2020-08-05
Elmwood Nursing and Rehab Center (Providence),45 to 49,5 to 9,nursing home,2020-08-05
Evergreen House Health Center (East Providence),110 to 114,20 to 24,nursing home,2020-08-05
Friendly Home (Woonsocket),60 to 64,15 to 19,nursing home,2020-08-05
Golden Crest (North Providence),95 to 99,35 to 39,nursing home,2020-08-05
Grace Barker Nursing Home (Warren),2 to 4,0,nursing home,2020-08-05
Grand Islander (Middletown),2 to 4,Fewer than five,nursing home,2020-08-05
Greenville Skilled Nursing & Rehabilitation (Greenville),75 to 79,20 to 24,nursing home,2020-08-05
Greenwood Center (Warwick),2 to 4,0,nursing home,2020-08-05
Hallworth House (Providence),25 to 29,10 to 14,nursing home,2020-08-05
Harris Health Care Center North (Central Falls),20 to 24,Fewer than five,nursing home,2020-08-05
Hebert Nursing Home (Smithfield),2 to 4,0,nursing home,2020-08-05
Heritage Hills (Smithfield),5 to 9,0,nursing home,2020-08-05
Holiday Retirement Home (Manville),95 to 99,25 to 29,nursing home,2020-08-05
Hopkins Manor (North Providence),105 to 109,20 to 24,nursing home,2020-08-05
Kent Regency (Warwick),25 to 29,Fewer than five,nursing home,2020-08-05
Linn Health & Rehab Center (East Providence),35 to 39,10 to 14,nursing home,2020-08-05
Morgan Health Center Nursing and Rehab (Johnston),25 to 29,5 to 9,nursing home,2020-08-05
Mount St. Rita (Cumberland),75 to 79,20 to 24,nursing home,2020-08-05
Oak Hill Health Center (Pawtucket),75 to 79,25 to 29,nursing home,2020-08-05
Oakland Grove Health Center (Woonsocket),75 to 79,20 to 24,nursing home,2020-08-05
Orchard View Manor (East Providence),140 to 144,45 to 49,nursing home,2020-08-05
Rhode Island Veterans Home (Bristol),15 to 19,5 to 9,nursing home,2020-08-05
Riverview Healthcare Community (Coventry),60 to 64,10 to 14,nursing home,2020-08-05
Saint Antoine Residence (North Smithfield),65 to 69,20 to 24,nursing home,2020-08-05
Saint Elizabeth Manor East Bay (Bristol),10 to 14,Fewer than five,nursing home,2020-08-05
Scalabrini Villa (North Kingstown),70 to 74,20 to 24,nursing home,2020-08-05
Silver Creek Manor (Bristol),2 to 4,0,nursing home,2020-08-05
South County Nursing Center (North Kingstown),80 to 84,25 to 29,nursing home,2020-08-05
South Kingstown Center (West Kingston),20 to 24,5 to 9,nursing home,2020-08-05
Steere House Nursing and Rehab (Providence),75 to 79,25 to 29,nursing home,2020-08-05
Stillwater Skilled Nursing (Greenville),60 to 64,20 to 24,nursing home,2020-08-05
Summit Commons (Providence),105 to 109,25 to 29,nursing home,2020-08-05
Trinity Health Center (Woonsocket),20 to 24,Fewer than five,nursing home,2020-08-05
Village House Nursing and Rehab (Newport),2 to 4,0,nursing home,2020-08-05
Waterview Villa (East Providence),45 to 49,10 to 14,nursing home,2020-08-05
West Shore Health Center (Warwick),105 to 109,40 to 44,nursing home,2020-08-05
West View Nursing Center (West Warwick),65 to 69,15 to 19,nursing home,2020-08-05
Woonsocket Health Center (Woonsocket),85 to 89,20 to 24,nursing home,2020-08-05
Total,2705 to 2709,750 to 754,nursing home,2020-08-05
"Anchor Bay at Greenwich 
 (East Greenwich)",5 to 9,0,assisted living,2020-08-05
Brentwood by the Bay (Warwick),2 to 4,0,assisted living,2020-08-05
Capitol Ridge at Providence (Providence),20 to 24,5 to 9,assisted living,2020-08-05
Darlington Memory Lane (North Providence - 1073 Mineral Spring),55 to 59,10 to 14,assisted living,2020-08-05
Highlands on the East Side (Providence),15 to 19,Fewer than five,assisted living,2020-08-05
Lighthouse at Lincoln (Lincoln),15 to 19,Fewer than five,assisted living,2020-08-05
Pacifica Senior Living Victoria Court (Cranston),5 to 9,0,assisted living,2020-08-05
Spring Villa Memory Care (West Warwick),15 to 19,Fewer than five,assisted living,2020-08-05
Stillwater Assisted Living (Greenville),5 to 9,Fewer than five,assisted living,2020-08-05
"The Village at Waterman Lake - The Lodge
 (Smithfield)",2 to 4,0,assisted living,2020-08-05
Wingate Assisted Living - Blackstone Boulevard (Providence),20 to 24,10 to 14,assisted living,2020-08-05
Wingate Assisted Living - Residences on the East Side (Providence),15 to 19,Fewer than five,assisted living,2020-08-05
Total,185 to 189,45 to 49,assisted living,2020-08-05
Ballou Home (Woonsocket),5 to 9,0,nursing home,2020-08-12
Bannister House (Providence),50 to 54,5 to 9,nursing home,2020-08-12
Berkshire Place (Providence),165 to 169,35 to 39,nursing home,2020-08-12
Bethany Home (Providence),15 to 19,5 to 9,nursing home,2020-08-12
Brentwood Nursing Home (Warwick),35 to 39,10 to 14,nursing home,2020-08-12
Briarcliffe Manor (Johnston),65 to 69,20 to 24,nursing home,2020-08-12
Brookdale Sakonnet Bay (Tiverton),10 to 14,Fewer than five,nursing home,2020-08-12
Cedar Crest (Cranston),2 to 4,0,nursing home,2020-08-12
Charlesgate Nursing Center (Providence),75 to 79,10 to 14,nursing home,2020-08-12
Cherry Hill Manor (Johnston),75 to 79,25 to 29,nursing home,2020-08-12
Crestwood Nursing & Rehab (Warren),15 to 19,Fewer than five,nursing home,2020-08-12
Crystal Lake Rehabilitation & Care Center (Burrillville),40 to 44,15 to 19,nursing home,2020-08-12
Eastgate Nursing & Rehab (East Providence),40 to 44,10 to 14,nursing home,2020-08-12
Elmhurst Healthcare Center (Providence),70 to 74,20 to 24,nursing home,2020-08-12
Elmwood Nursing and Rehab Center (Providence),45 to 49,5 to 9,nursing home,2020-08-12
Evergreen House Health Center (East Providence),110 to 114,20 to 24,nursing home,2020-08-12
Friendly Home (Woonsocket),60 to 64,15 to 19,nursing home,2020-08-12
Golden Crest (North Providence),95 to 99,35 to 39,nursing home,2020-08-12
Grace Barker Nursing Home (Warren),2 to 4,0,nursing home,2020-08-12
Grand Islander (Middletown),2 to 4,Fewer than five,nursing home,2020-08-12
Greenville Skilled Nursing & Rehabilitation (Greenville),75 to 79,20 to 24,nursing home,2020-08-12
Greenwood Center (Warwick),2 to 4,0,nursing home,2020-08-12
Hallworth House (Providence),25 to 29,10 to 14,nursing home,2020-08-12
Harris Health Care Center North (Central Falls),20 to 24,Fewer than five,nursing home,2020-08-12
Hebert Nursing Home (Smithfield),2 to 4,0,nursing home,2020-08-12
Heritage Hills (Smithfield),5 to 9,0,nursing home,2020-08-12
Holiday Retirement Home (Manville),95 to 99,25 to 29,nursing home,2020-08-12
Hopkins Manor (North Providence),105 to 109,20 to 24,nursing home,2020-08-12
Kent Regency (Warwick),25 to 29,Fewer than five,nursing home,2020-08-12
Linn Health & Rehab Center (East Providence),35 to 39,10 to 14,nursing home,2020-08-12
Morgan Health Center Nursing and Rehab (Johnston),25 to 29,5 to 9,nursing home,2020-08-12
Mount St. Rita (Cumberland),75 to 79,20 to 24,nursing home,2020-08-12
Oak Hill Health Center (Pawtucket),80 to 84,25 to 29,nursing home,2020-08-12
Oakland Grove Health Center (Woonsocket),75 to 79,20 to 24,nursing home,2020-08-12
Orchard View Manor (East Providence),140 to 144,45 to 49,nursing home,2020-08-12
"Pawtucket Skilled Nursing & Rehab
 (Pawtucket)",15 to 19,0,nursing home,2020-08-12
Rhode Island Veterans Home (Bristol),15 to 19,5 to 9,nursing home,2020-08-12
Riverview Healthcare Community (Coventry),60 to 64,10 to 14,nursing home,2020-08-12
Saint Antoine Residence (North Smithfield),65 to 69,20 to 24,nursing home,2020-08-12
Saint Elizabeth Manor East Bay (Bristol),10 to 14,Fewer than five,nursing home,2020-08-12
Scalabrini Villa (North Kingstown),70 to 74,20 to 24,nursing home,2020-08-12
Silver Creek Manor (Bristol),2 to 4,0,nursing home,2020-08-12
South County Nursing Center (North Kingstown),80 to 84,25 to 29,nursing home,2020-08-12
South Kingstown Center (West Kingston),20 to 24,5 to 9,nursing home,2020-08-12
Steere House Nursing and Rehab (Providence),75 to 79,25 to 29,nursing home,2020-08-12
Stillwater Skilled Nursing (Greenville),60 to 64,20 to 24,nursing home,2020-08-12
Summit Commons (Providence),105 to 109,25 to 29,nursing home,2020-08-12
Trinity Health Center (Woonsocket),20 to 24,Fewer than five,nursing home,2020-08-12
Village House Nursing and Rehab (Newport),2 to 4,0,nursing home,2020-08-12
Waterview Villa (East Providence),45 to 49,10 to 14,nursing home,2020-08-12
West Shore Health Center (Warwick),105 to 109,40 to 44,nursing home,2020-08-12
West View Nursing Center (West Warwick),65 to 69,15 to 19,nursing home,2020-08-12
Woonsocket Health Center (Woonsocket),85 to 89,20 to 24,nursing home,2020-08-12
Total,2740 to 2744,755 to 759,nursing home,2020-08-12
"Anchor Bay at Greenwich 
 (East Greenwich)",5 to 9,0,assisted living,2020-08-12
Brentwood by the Bay (Warwick),2 to 4,0,assisted living,2020-08-12
Capitol Ridge at Providence (Providence),20 to 24,5 to 9,assisted living,2020-08-12
Darlington Memory Lane (North Providence - 1073 Mineral Spring),55 to 59,10 to 14,assisted living,2020-08-12
Highlands on the East Side (Providence),15 to 19,Fewer than five,assisted living,2020-08-12
Lighthouse at Lincoln (Lincoln),15 to 19,Fewer than five,assisted living,2020-08-12
Pacifica Senior Living Victoria Court (Cranston),10 to 14,0,assisted living,2020-08-12
Spring Villa Memory Care (West Warwick),15 to 19,Fewer than five,assisted living,2020-08-12
Stillwater Assisted Living (Greenville),5 to 9,Fewer than five,assisted living,2020-08-12
"The Village at Waterman Lake - The Lodge
 (Smithfield)",2 to 4,0,assisted living,2020-08-12
Wingate Assisted Living - Blackstone Boulevard (Providence),20 to 24,10 to 14,assisted living,2020-08-12
Wingate Assisted Living - Residences on the East Side (Providence),15 to 19,Fewer than five,assisted living,2020-08-12
Total,190 to 194,45 to 49,assisted living,2020-08-12
Ballou Home (Woonsocket),5 to 9,0,nursing home,2020-08-19
Bannister House (Providence),55 to 59,5 to 9,nursing home,2020-08-19
Berkshire Place (Providence),165 to 169,35 to 39,nursing home,2020-08-19
Bethany Home (Providence),15 to 19,5 to 9,nursing home,2020-08-19
Brentwood Nursing Home (Warwick),35 to 39,10 to 14,nursing home,2020-08-19
Briarcliffe Manor (Johnston),65 to 69,20 to 24,nursing home,2020-08-19
Brookdale Sakonnet Bay (Tiverton),10 to 14,Fewer than five,nursing home,2020-08-19
Cedar Crest (Cranston),2 to 4,0,nursing home,2020-08-19
Charlesgate Nursing Center (Providence),75 to 79,10 to 14,nursing home,2020-08-19
Cherry Hill Manor (Johnston),75 to 79,25 to 29,nursing home,2020-08-19
Crestwood Nursing & Rehab (Warren),15 to 19,Fewer than five,nursing home,2020-08-19
Crystal Lake Rehabilitation & Care Center (Burrillville),40 to 44,15 to 19,nursing home,2020-08-19
Eastgate Nursing & Rehab (East Providence),40 to 44,10 to 14,nursing home,2020-08-19
Elmhurst Healthcare Center (Providence),80 to 84,20 to 24,nursing home,2020-08-19
Elmwood Nursing and Rehab Center (Providence),45 to 49,5 to 9,nursing home,2020-08-19
Evergreen House Health Center (East Providence),110 to 114,20 to 24,nursing home,2020-08-19
Friendly Home (Woonsocket),60 to 64,15 to 19,nursing home,2020-08-19
Golden Crest (North Providence),95 to 99,35 to 39,nursing home,2020-08-19
Grace Barker Nursing Home (Warren),2 to 4,0,nursing home,2020-08-19
Grand Islander (Middletown),2 to 4,Fewer than five,nursing home,2020-08-19
Greenville Skilled Nursing & Rehabilitation (Greenville),75 to 79,20 to 24,nursing home,2020-08-19
Greenwood Center (Warwick),2 to 4,0,nursing home,2020-08-19
Hallworth House (Providence),25 to 29,10 to 14,nursing home,2020-08-19
Harris Health Care Center North (Central Falls),20 to 24,Fewer than five,nursing home,2020-08-19
Hebert Nursing Home (Smithfield),2 to 4,0,nursing home,2020-08-19
Heritage Hills (Smithfield),5 to 9,0,nursing home,2020-08-19
Holiday Retirement Home (Manville),95 to 99,25 to 29,nursing home,2020-08-19
Hopkins Manor (North Providence),100 to 104,20 to 24,nursing home,2020-08-19
Kent Regency (Warwick),25 to 29,Fewer than five,nursing home,2020-08-19
Linn Health & Rehab Center (East Providence),35 to 39,10 to 14,nursing home,2020-08-19
Morgan Health Center Nursing and Rehab (Johnston),25 to 29,5 to 9,nursing home,2020-08-19
Mount St. Rita (Cumberland),75 to 79,20 to 24,nursing home,2020-08-19
Oak Hill Health Center (Pawtucket),80 to 84,25 to 29,nursing home,2020-08-19
Oakland Grove Health Center (Woonsocket),75 to 79,20 to 24,nursing home,2020-08-19
Orchard View Manor (East Providence),140 to 144,45 to 49,nursing home,2020-08-19
"Pawtucket Skilled Nursing & Rehab
 (Pawtucket)",15 to 19,0,nursing home,2020-08-19
Rhode Island Veterans Home (Bristol),15 to 19,5 to 9,nursing home,2020-08-19
Riverview Healthcare Community (Coventry),60 to 64,10 to 14,nursing home,2020-08-19
Saint Antoine Residence (North Smithfield),65 to 69,20 to 24,nursing home,2020-08-19
Saint Elizabeth Manor East Bay (Bristol),10 to 14,Fewer than five,nursing home,2020-08-19
