school,lea,new_student_cases,total_student_cases,new_staff_cases,total_staff_cases,type,date
Bradley School Providence,Private Schools,0,Fewer than five,0,5 to 9,in person,2021-02-24
Bradley School-South,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-02-24
Brown Fox Point Early Childhood Ed. Center,Private Schools,0,Fewer than five,0,0,in person,2021-02-24
"CHILD, Inc., Draper Avenue Center",Private Schools,0,Fewer than five,0,0,in person,2021-02-24
"CHILD, Inc.- Payan Street",Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-02-24
Cadence Academy Preschool,Private Schools,0,Fewer than five,0,0,in person,2021-02-24
Calvary Christian Preschool,Private Schools,0,Fewer than five,0,0,in person,2021-02-24
Center for Individualized Training and Ed.,Private Schools,Fewer than five,Fewer than five,0,Fewer than five,in person,2021-02-24
Children's Friend @ Dorcas International,Private Schools,0,0,0,Fewer than five,in person,2021-02-24
Community Christian School,Private Schools,Fewer than five,Fewer than five,0,0,in person,2021-02-24
Community Preparatory School,Private Schools,0,5 to 9,0,Fewer than five,in person,2021-02-24
Cornerstone School,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-02-24
Cranston Child Development Center,Private Schools,0,Fewer than five,0,0,in person,2021-02-24
Day Spring Christian Academy,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-02-24
East Bay Community Action Program Head Start @ John Chafee Blvd,Private Schools,0,0,0,Fewer than five,in person,2021-02-24
Eleanor Briggs School,Private Schools,Fewer than five,Fewer than five,0,0,in person,2021-02-24
Greenwich Village Nursery and Kindergarten,Private Schools,0,0,0,Fewer than five,in person,2021-02-24
Groden Center South,Private Schools,0,5 to 9,0,10 to 14,in person,2021-02-24
Harmony Hill School,Private Schools,0,10 to 14,0,5 to 9,in person,2021-02-24
Henry Barnard School,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-02-24
High Road School of Providence,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-02-24
Islamic School of RI,Private Schools,0,20 to 24,0,5 to 9,in person,2021-02-24
Jewish Community Day School of Rhode Island,Private Schools,0,0,0,Fewer than five,in person,2021-02-24
Lifespan School Solutions,Private Schools,0,0,0,Fewer than five,in person,2021-02-24
Lincoln School,Private Schools,0,10 to 14,0,Fewer than five,in person,2021-02-24
Meadowbrook Waldorf School,Private Schools,0,Fewer than five,0,0,in person,2021-02-24
Meadowridge School-Justice Resource,Private Schools,0,0,0,Fewer than five,in person,2021-02-24
Meeting Street School,Private Schools,0,5 to 9,0,5 to 9,in person,2021-02-24
Middlebridge School,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-02-24
Montessori Centre of Barrington,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-02-24
Montessori Children's House,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-02-24
Moses Brown School,Private Schools,0,10 to 14,0,5 to 9,in person,2021-02-24
Mount Pleasant Academy,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-02-24
Ocean State Academy,Private Schools,0,Fewer than five,0,5 to 9,in person,2021-02-24
Ocean State Montessori School,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-02-24
Overbrook Academy,Private Schools,0,10 to 14,0,5 to 9,in person,2021-02-24
Pathways Strategic Teaching Center(Coventry),Private Schools,0,Fewer than five,0,5 to 9,in person,2021-02-24
Pathways Strategic Teaching Center(Warwick),Private Schools,0,5 to 9,0,5 to 9,in person,2021-02-24
Portsmouth Abbey School,Private Schools,0,Fewer than five,0,5 to 9,in person,2021-02-24
Providence Country Day School,Private Schools,0,5 to 9,0,Fewer than five,in person,2021-02-24
Providence Hebrew Day/N.E. Academy of Torah,Private Schools,0,0,0,Fewer than five,in person,2021-02-24
Quest Montessori School,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-02-24
READS Collaborative,Private Schools,0,0,0,Fewer than five,in person,2021-02-24
Rocky Hill School,Private Schools,Fewer than five,10 to 14,0,Fewer than five,in person,2021-02-24
Roger Williams Day Care Center,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-02-24
Sakonnet Early Learning Center,Private Schools,0,Fewer than five,0,0,in person,2021-02-24
San Miguel School,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-02-24
Sargent Rehabilitation Center,Private Schools,Fewer than five,Fewer than five,0,5 to 9,in person,2021-02-24
School One,Private Schools,0,Fewer than five,0,0,in person,2021-02-24
Sophia Academy,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-02-24
Southcoast Educational Collaborative,Private Schools,0,Fewer than five,0,0,in person,2021-02-24
St. Andrew's School,Private Schools,0,5 to 9,0,Fewer than five,in person,2021-02-24
St. George's School,Private Schools,0,10 to 14,Fewer than five,5 to 9,in person,2021-02-24
St. Mary's Home for Children/George N. Hunt Campus School,Private Schools,0,10 to 14,0,Fewer than five,in person,2021-02-24
St. Michael's Country Day School,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-02-24
St. Patrick's School,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-02-24
Swansea Wood School,Private Schools,0,0,0,Fewer than five,in person,2021-02-24
The Bradley School,Private Schools,0,5 to 9,0,5 to 9,in person,2021-02-24
The Croft School,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-02-24
The French-American School of RI,Private Schools,0,5 to 9,0,Fewer than five,in person,2021-02-24
The Gordon School,Private Schools,0,15 to 19,0,Fewer than five,in person,2021-02-24
The Grace School,Private Schools,0,Fewer than five,0,0,in person,2021-02-24
"The Groden Center, Inc.",Private Schools,0,Fewer than five,0,5 to 9,in person,2021-02-24
The Martin School,Private Schools,0,Fewer than five,0,0,in person,2021-02-24
The Pennfield School,Private Schools,Fewer than five,5 to 9,0,Fewer than five,in person,2021-02-24
The Providence Center School,Private Schools,0,Fewer than five,0,5 to 9,in person,2021-02-24
The Romerry School for Young Children,Private Schools,0,Fewer than five,0,0,in person,2021-02-24
The Spurwink School,Private Schools,0,0,0,Fewer than five,in person,2021-02-24
The Tides School - Pawtucket,Private Schools,0,Fewer than five,0,0,in person,2021-02-24
The Tides School - West Warwick,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-02-24
The Wheeler School,Private Schools,0,15 to 19,Fewer than five,15 to 19,in person,2021-02-24
The Wolf School,Private Schools,0,10 to 14,0,5 to 9,in person,2021-02-24
Trinity Christian Academy,Private Schools,0,5 to 9,0,Fewer than five,in person,2021-02-24
West Bay Christian Academy,Private Schools,0,5 to 9,0,5 to 9,in person,2021-02-24
Westerly Pre-School Childhood Center,Private Schools,0,Fewer than five,0,0,in person,2021-02-24
Woonsocket Head Start-Bourdon Blvd Center,Private Schools,0,Fewer than five,0,0,in person,2021-02-24
360 High School,Providence,Fewer than five,5 to 9,0,Fewer than five,in person,2021-02-24
A Venture Academy,Providence,0,Fewer than five,0,0,in person,2021-02-24
Alan Shawn Feinstein Elementary at Broad Street,Providence,0,15 to 19,0,10 to 14,in person,2021-02-24
Alfred Lima Sr. Elementary School,Providence,0,15 to 19,Fewer than five,5 to 9,in person,2021-02-24
Anthony Carnevale Elementary School,Providence,0,15 to 19,0,15 to 19,in person,2021-02-24
Asa Messer Elementary School,Providence,0,10 to 14,0,5 to 9,in person,2021-02-24
Carl G. Lauro Elementary School,Providence,0,5 to 9,0,15 to 19,in person,2021-02-24
Central High School,Providence,Fewer than five,25 to 29,0,5 to 9,in person,2021-02-24
Charles N. Fortes Elementary School,Providence,0,15 to 19,0,5 to 9,in person,2021-02-24
Classical High School,Providence,Fewer than five,65 to 69,0,5 to 9,in person,2021-02-24
Dr. Jorge Alvarez High School,Providence,Fewer than five,20 to 24,0,5 to 9,in person,2021-02-24
"Dr. Martin Luther King, Jr. Elementary School",Providence,0,10 to 14,0,5 to 9,in person,2021-02-24
E-Cubed Academy,Providence,0,10 to 14,0,5 to 9,in person,2021-02-24
Esek Hopkins Middle School,Providence,0,15 to 19,0,Fewer than five,in person,2021-02-24
Frank D. Spaziano Elementary School,Providence,0,15 to 19,0,Fewer than five,in person,2021-02-24
Frank D. Spaziano Elementary School Annex,Providence,0,Fewer than five,0,5 to 9,in person,2021-02-24
George J. West Elementary School,Providence,Fewer than five,25 to 29,0,10 to 14,in person,2021-02-24
Gilbert Stuart Middle School,Providence,Fewer than five,20 to 24,0,10 to 14,in person,2021-02-24
Governor Christopher DelSesto Middle School,Providence,0,20 to 24,0,15 to 19,in person,2021-02-24
Harry Kizirian Elementary School,Providence,0,20 to 24,0,5 to 9,in person,2021-02-24
Highlander Charter School/Mariposa Center@Meeting St.School,Providence,0,Fewer than five,0,0,in person,2021-02-24
Hope High School,Providence,Fewer than five,35 to 39,0,20 to 24,in person,2021-02-24
Leviton Dual Language School,Providence,0,15 to 19,Fewer than five,5 to 9,in person,2021-02-24
Lillian Feinstein Elementary Sackett Street,Providence,0,15 to 19,0,5 to 9,in person,2021-02-24
Love 4 All Childcare Center,Providence,0,Fewer than five,0,0,in person,2021-02-24
Mary E. Fogarty Elementary School,Providence,Fewer than five,15 to 19,0,5 to 9,in person,2021-02-24
Mount Pleasant High School,Providence,0,25 to 29,0,15 to 19,in person,2021-02-24
Nathan Bishop Middle School,Providence,Fewer than five,20 to 24,0,15 to 19,in person,2021-02-24
Nathanael Greene Middle School (Providence),Providence,Fewer than five,25 to 29,Fewer than five,15 to 19,in person,2021-02-24
PPSD Multiple Pathway Evening Program,Providence,0,0,0,Fewer than five,in person,2021-02-24
Pleasant View School,Providence,0,20 to 24,0,15 to 19,in person,2021-02-24
Providence Career and Technical Academy,Providence,0,35 to 39,0,5 to 9,in person,2021-02-24
Providence Transition Academy and Providence Autism School to Tomorrow Academy,Providence,0,Fewer than five,0,Fewer than five,in person,2021-02-24
Reservoir Avenue School,Providence,0,5 to 9,0,5 to 9,in person,2021-02-24
Robert F. Kennedy Elementary School,Providence,0,10 to 14,0,Fewer than five,in person,2021-02-24
Robert L Bailey IV Elementary School,Providence,0,15 to 19,Fewer than five,10 to 14,in person,2021-02-24
Roger Williams Middle School,Providence,0,15 to 19,Fewer than five,10 to 14,in person,2021-02-24
The Sgt. Cornel Young Jr & Charlotte Woods Elementary School @ The B. Jae Clanton Complex,Providence,Fewer than five,20 to 24,0,5 to 9,in person,2021-02-24
Times2 Elementary School,Providence,0,15 to 19,0,5 to 9,in person,2021-02-24
Times2 Middle/High School,Providence,0,10 to 14,0,10 to 14,in person,2021-02-24
Vartan Gregorian Elementary School,Providence,0,5 to 9,0,Fewer than five,in person,2021-02-24
Veazie Street School,Providence,0,10 to 14,0,5 to 9,in person,2021-02-24
Webster Avenue School,Providence,0,10 to 14,0,10 to 14,in person,2021-02-24
West Broadway Middle School,Providence,Fewer than five,15 to 19,0,5 to 9,in person,2021-02-24
"William B. Cooley, Sr. High School and the Providence Academy of International Studies High School",Providence,0,10 to 14,0,15 to 19,in person,2021-02-24
William D'Abate Elementary School,Providence,Fewer than five,20 to 24,Fewer than five,5 to 9,in person,2021-02-24
Rhode Island School for the Deaf,R.I. Sch for the Deaf,0,5 to 9,0,Fewer than five,in person,2021-02-24
RISE Prep Mayoral Academy Elementary School,RISE Prep Mayoral Academy,0,15 to 19,0,Fewer than five,in person,2021-02-24
RISE Prep Mayoral Academy Middle School,RISE Prep Mayoral Academy,0,Fewer than five,0,0,in person,2021-02-24
RI Nurses Institute Middle College Charter High School,Rhode Island Nurses Institute Middle College,0,Fewer than five,0,0,in person,2021-02-24
Clayville Elementary School,Scituate,0,5 to 9,0,Fewer than five,in person,2021-02-24
Hope Elementary School,Scituate,0,5 to 9,Fewer than five,Fewer than five,in person,2021-02-24
North Scituate Elementary School,Scituate,0,5 to 9,0,Fewer than five,in person,2021-02-24
Scituate High School,Scituate,Fewer than five,5 to 9,0,5 to 9,in person,2021-02-24
Scituate Middle School,Scituate,0,10 to 14,0,Fewer than five,in person,2021-02-24
Segue Institute for Learning,Segue Institute for Learning,0,10 to 14,0,5 to 9,in person,2021-02-24
Sheila Skip Nowell Leadership Academy (Capital Campus),Sheila Skip Nowell Leadership Academy,0,Fewer than five,0,Fewer than five,in person,2021-02-24
Anna M. McCabe School,Smithfield,0,10 to 14,0,5 to 9,in person,2021-02-24
Momentum Professional Behavioral Services,Smithfield,0,Fewer than five,0,0,in person,2021-02-24
Old County Road School,Smithfield,0,5 to 9,0,5 to 9,in person,2021-02-24
Raymond C. LaPerche School,Smithfield,0,5 to 9,0,5 to 9,in person,2021-02-24
Smithfield Senior High School,Smithfield,0,65 to 69,Fewer than five,10 to 14,in person,2021-02-24
Vincent J. Gallagher Middle School,Smithfield,0,30 to 34,0,10 to 14,in person,2021-02-24
William Winsor School,Smithfield,0,20 to 24,0,Fewer than five,in person,2021-02-24
Broad Rock Middle School,South Kingstown,Fewer than five,10 to 14,0,5 to 9,in person,2021-02-24
Curtis Corner Middle School,South Kingstown,0,10 to 14,0,Fewer than five,in person,2021-02-24
Matunuck School,South Kingstown,0,5 to 9,0,Fewer than five,in person,2021-02-24
Peace Dale Elementary School,South Kingstown,0,5 to 9,0,5 to 9,in person,2021-02-24
South Kingstown High School,South Kingstown,5 to 9,30 to 34,Fewer than five,5 to 9,in person,2021-02-24
Wakefield Elementary School,South Kingstown,0,Fewer than five,0,Fewer than five,in person,2021-02-24
West Kingston Elementary School,South Kingstown,0,Fewer than five,0,0,in person,2021-02-24
SouthSide Elementary Charter School,SouthSide Charter School,0,Fewer than five,Fewer than five,5 to 9,in person,2021-02-24
The Compass School,The Compass School,0,10 to 14,0,Fewer than five,in person,2021-02-24
The Greene School,The Greene School,0,5 to 9,0,Fewer than five,in person,2021-02-24
The Hope Academy,The Hope Academy,0,10 to 14,0,Fewer than five,in person,2021-02-24
Fort Barton School,Tiverton,0,10 to 14,0,Fewer than five,in person,2021-02-24
Pocasset School,Tiverton,0,5 to 9,0,0,in person,2021-02-24
Tiverton High School,Tiverton,Fewer than five,20 to 24,0,Fewer than five,in person,2021-02-24
Tiverton Middle School,Tiverton,0,15 to 19,0,Fewer than five,in person,2021-02-24
Walter E. Ranger School,Tiverton,Fewer than five,10 to 14,0,Fewer than five,in person,2021-02-24
Trinity Academy for the Performing Arts,Trinity Academy for the Performing Arts,0,0,0,Fewer than five,in person,2021-02-24
Urban Collaborative Accelerated Program,Urban Collaborative,0,5 to 9,0,Fewer than five,in person,2021-02-24
Village Green Virtual Charter School,Village Green Virtual,0,Fewer than five,0,Fewer than five,in person,2021-02-24
Cedar Hill School,Warwick,Fewer than five,10 to 14,0,5 to 9,in person,2021-02-24
Cottrell F. Hoxsie School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-02-24
E. G. Robertson School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-02-24
Greenwood School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-02-24
Harold F. Scott School,Warwick,0,Fewer than five,Fewer than five,Fewer than five,in person,2021-02-24
Holliman School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-02-24
Lippitt School,Warwick,Fewer than five,Fewer than five,0,Fewer than five,in person,2021-02-24
Norwood School,Warwick,Fewer than five,5 to 9,Fewer than five,Fewer than five,in person,2021-02-24
Oakland Beach Elementary School,Warwick,0,5 to 9,0,5 to 9,in person,2021-02-24
Park School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-02-24
Pilgrim High School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-02-24
Sherman School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-02-24
Toll Gate High School,Warwick,0,20 to 24,0,Fewer than five,in person,2021-02-24
Warwick Area Career and Technical Center,Warwick,0,Fewer than five,0,Fewer than five,in person,2021-02-24
Warwick Early Learning Center at John Brown Francis,Warwick,0,Fewer than five,0,Fewer than five,in person,2021-02-24
Warwick Neck School,Warwick,Fewer than five,5 to 9,0,Fewer than five,in person,2021-02-24
Warwick Veterans Middle School,Warwick,Fewer than five,5 to 9,0,10 to 14,in person,2021-02-24
Westbay Community Action Children's Center,Warwick,0,0,0,Fewer than five,in person,2021-02-24
Winman Middle School,Warwick,Fewer than five,5 to 9,0,Fewer than five,in person,2021-02-24
Wyman School,Warwick,0,5 to 9,Fewer than five,5 to 9,in person,2021-02-24
West Bay Collaborative,West Bay Collaborative,0,Fewer than five,0,Fewer than five,in person,2021-02-24
Greenbush Elementary School,West Warwick,0,5 to 9,0,Fewer than five,in person,2021-02-24
John F. Deering Middle School,West Warwick,Fewer than five,25 to 29,Fewer than five,5 to 9,in person,2021-02-24
John F. Horgan Elementary School,West Warwick,0,5 to 9,0,Fewer than five,in person,2021-02-24
Maisie E. Quinn Elementary School,West Warwick,0,Fewer than five,0,Fewer than five,in person,2021-02-24
Wakefield Hills Elementary School,West Warwick,0,Fewer than five,0,Fewer than five,in person,2021-02-24
West Warwick Senior High School,West Warwick,0,25 to 29,0,5 to 9,in person,2021-02-24
Dunn's Corners School,Westerly,0,5 to 9,0,5 to 9,in person,2021-02-24
Springbrook Elementary School,Westerly,5 to 9,10 to 14,0,Fewer than five,in person,2021-02-24
State Street School,Westerly,0,10 to 14,0,5 to 9,in person,2021-02-24
Westerly High School,Westerly,Fewer than five,30 to 34,0,10 to 14,in person,2021-02-24
Westerly Inclusion Preschool Program - Babcock Hall,Westerly,0,Fewer than five,0,0,in person,2021-02-24
Westerly Middle School,Westerly,0,20 to 24,0,10 to 14,in person,2021-02-24
Bernon Heights School,Woonsocket,Fewer than five,5 to 9,Fewer than five,5 to 9,in person,2021-02-24
Globe Park School,Woonsocket,0,5 to 9,0,Fewer than five,in person,2021-02-24
Harris School,Woonsocket,0,5 to 9,0,Fewer than five,in person,2021-02-24
Kevin K. Coleman Elementary School,Woonsocket,0,Fewer than five,0,Fewer than five,in person,2021-02-24
Leo A. Savoie School,Woonsocket,0,10 to 14,0,Fewer than five,in person,2021-02-24
Pothier-Citizens Elementary Campus,Woonsocket,0,5 to 9,Fewer than five,5 to 9,in person,2021-02-24
Woonsocket Area Career and Technical Center,Woonsocket,0,Fewer than five,0,0,in person,2021-02-24
Woonsocket High School,Woonsocket,Fewer than five,5 to 9,Fewer than five,15 to 19,in person,2021-02-24
Woonsocket Middle School at Hamlet,Woonsocket,0,5 to 9,0,10 to 14,in person,2021-02-24
Woonsocket Middle School at Villa Nova,Woonsocket,0,Fewer than five,0,Fewer than five,in person,2021-02-24
Other*,,Fewer than five,75 to 79,5 to 9,265 to 269,in person,2021-02-24
,Total:,110 to 114,4685 to 4689,40 to 44,2185 to 2189,in person,2021-02-24
AF Iluminar Mayoral Academy Middle School,Achievement First Rhode Island,0,Fewer than five,0,0,virtual,2021-02-24
Achievement First Iluminar Mayoral Academy,Achievement First Rhode Island,Fewer than five,15 to 19,Fewer than five,Fewer than five,virtual,2021-02-24
Achievement First Promesa Elementary,Achievement First Rhode Island,0,5 to 9,Fewer than five,Fewer than five,virtual,2021-02-24
Achievement First Providence Mayoral Academy,Achievement First Rhode Island,Fewer than five,50 to 54,0,5 to 9,virtual,2021-02-24
Barrington High School,Barrington,0,40 to 44,0,Fewer than five,virtual,2021-02-24
Barrington Middle School,Barrington,0,5 to 9,0,Fewer than five,virtual,2021-02-24
Hampden Meadows School,Barrington,0,Fewer than five,0,0,virtual,2021-02-24
Nayatt School,Barrington,0,5 to 9,0,0,virtual,2021-02-24
Primrose Hill School,Barrington,0,Fewer than five,0,0,virtual,2021-02-24
Sowams Elementary School,Barrington,0,Fewer than five,0,0,virtual,2021-02-24
BEACON Charter School,Beacon Charter School,0,10 to 14,0,Fewer than five,virtual,2021-02-24
Founders Academy,Beacon Charter School,0,5 to 9,0,0,virtual,2021-02-24
Blackstone Academy Charter School,Blackstone Academy,0,25 to 29,0,0,virtual,2021-02-24
Blackstone Valley Prep Elementary 2 School (ES2),"Blackstone Valley Prep, A RI Mayoral Academy",0,10 to 14,0,Fewer than five,virtual,2021-02-24
Blackstone Valley Prep Elementary 3 School (ES3),"Blackstone Valley Prep, A RI Mayoral Academy",0,10 to 14,0,0,virtual,2021-02-24
Blackstone Valley Prep Elementary School (ES1),"Blackstone Valley Prep, A RI Mayoral Academy",0,30 to 34,0,Fewer than five,virtual,2021-02-24
Blackstone Valley Prep High School (HS),"Blackstone Valley Prep, A RI Mayoral Academy",Fewer than five,35 to 39,0,Fewer than five,virtual,2021-02-24
Blackstone Valley Prep Junior High School (JHS),"Blackstone Valley Prep, A RI Mayoral Academy",Fewer than five,10 to 14,0,0,virtual,2021-02-24
Blackstone Valley Prep Upper Elementary School (UES),"Blackstone Valley Prep, A RI Mayoral Academy",Fewer than five,10 to 14,0,Fewer than five,virtual,2021-02-24
Colt Andrews School,Bristol Warren,0,Fewer than five,0,Fewer than five,virtual,2021-02-24
Guiteras School,Bristol Warren,0,5 to 9,0,Fewer than five,virtual,2021-02-24
Hugh Cole School,Bristol Warren,0,10 to 14,0,Fewer than five,virtual,2021-02-24
Kickemuit Middle School,Bristol Warren,Fewer than five,10 to 14,0,Fewer than five,virtual,2021-02-24
Mt. Hope High School,Bristol Warren,Fewer than five,45 to 49,0,Fewer than five,virtual,2021-02-24
Rockwell School,Bristol Warren,0,10 to 14,0,Fewer than five,virtual,2021-02-24
Austin T. Levy School,Burrillville,0,Fewer than five,0,Fewer than five,virtual,2021-02-24
Burrillville High School,Burrillville,0,25 to 29,0,0,virtual,2021-02-24
Burrillville Middle School,Burrillville,Fewer than five,20 to 24,0,0,virtual,2021-02-24
Steere Farm Elementary School,Burrillville,0,Fewer than five,0,Fewer than five,virtual,2021-02-24
William L. Callahan School,Burrillville,0,5 to 9,0,0,virtual,2021-02-24
Bishop Hendricken High School,Catholic Schools,Fewer than five,50 to 54,0,Fewer than five,virtual,2021-02-24
Bishop McVinney Regional School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-02-24
Blessed Sacrament School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-02-24
Father John V. Doyle School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-02-24
Good Shepherd Catholic Regional School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-02-24
Immaculate Conception Catholic Regional,Catholic Schools,0,Fewer than five,0,Fewer than five,virtual,2021-02-24
La Salle Academy,Catholic Schools,Fewer than five,45 to 49,0,Fewer than five,virtual,2021-02-24
Mount St. Charles Academy,Catholic Schools,0,10 to 14,0,0,virtual,2021-02-24
Msgr. Matthew F. Clarke Catholic Regional School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-02-24
Our Lady of Mt. Carmel,Catholic Schools,0,Fewer than five,0,0,virtual,2021-02-24
Sacred Heart School,Catholic Schools,0,5 to 9,0,Fewer than five,virtual,2021-02-24
St. Kevin School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-02-24
St. Luke School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-02-24
St. Margaret School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-02-24
St. Mary Academy-Bay View,Catholic Schools,0,5 to 9,0,Fewer than five,virtual,2021-02-24
St. Mary School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-02-24
St. Patrick School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-02-24
St. Paul School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-02-24
St. Peter School,Catholic Schools,0,5 to 9,0,0,virtual,2021-02-24
St. Philip School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-02-24
St. Philomena School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-02-24
St. Pius V School,Catholic Schools,0,5 to 9,0,0,virtual,2021-02-24
St. Raphael Academy,Catholic Schools,0,10 to 14,0,0,virtual,2021-02-24
St. Rocco School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-02-24
St. Rose of Lima School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-02-24
St. Teresa School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-02-24
St. Thomas Regional School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-02-24
The Prout School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-02-24
Captain G. Harold Hunt Elementary School,Central Falls,0,Fewer than five,0,0,virtual,2021-02-24
Central Falls Senior High School,Central Falls,Fewer than five,55 to 59,0,Fewer than five,virtual,2021-02-24
Dr. Earl F. Calcutt Middle School,Central Falls,Fewer than five,35 to 39,0,Fewer than five,virtual,2021-02-24
Ella Risk School,Central Falls,0,5 to 9,0,Fewer than five,virtual,2021-02-24
Raices Dual Language Academy at Margaret I. Robertson School,Central Falls,0,10 to 14,0,0,virtual,2021-02-24
Veterans Memorial Elementary,Central Falls,0,5 to 9,0,0,virtual,2021-02-24
Charette Charter School,Charette Charter,0,15 to 19,0,0,virtual,2021-02-24
Ashaway Elementary School,Chariho,0,Fewer than five,0,0,virtual,2021-02-24
Chariho Area Career and Technical Center,Chariho,0,Fewer than five,0,0,virtual,2021-02-24
Chariho Regional High School,Chariho,0,25 to 29,0,0,virtual,2021-02-24
Chariho Regional Middle School,Chariho,0,5 to 9,0,0,virtual,2021-02-24
Charlestown Elementary School,Chariho,0,Fewer than five,0,0,virtual,2021-02-24
Hope Valley Elementary School,Chariho,0,Fewer than five,0,Fewer than five,virtual,2021-02-24
Richmond Elementary School,Chariho,0,Fewer than five,0,0,virtual,2021-02-24
Alan Shawn Feinstein Middle School Of Coventry,Coventry,Fewer than five,25 to 29,0,Fewer than five,virtual,2021-02-24
Blackrock School,Coventry,0,5 to 9,0,0,virtual,2021-02-24
Coventry High School,Coventry,0,50 to 54,0,5 to 9,virtual,2021-02-24
Hopkins Hill School,Coventry,Fewer than five,5 to 9,0,Fewer than five,virtual,2021-02-24
Tiogue School,Coventry,0,5 to 9,0,Fewer than five,virtual,2021-02-24
Washington Oak School,Coventry,0,10 to 14,0,0,virtual,2021-02-24
Western Coventry School,Coventry,0,5 to 9,0,Fewer than five,virtual,2021-02-24
Arlington School,Cranston,0,Fewer than five,0,Fewer than five,virtual,2021-02-24
Cranston High School East,Cranston,0,100 to 104,0,5 to 9,virtual,2021-02-24
Cranston High School West,Cranston,Fewer than five,105 to 109,0,Fewer than five,virtual,2021-02-24
Cranston Transition Program(CTP),Cranston,0,Fewer than five,0,Fewer than five,virtual,2021-02-24
Daniel D. Waterman School,Cranston,0,10 to 14,0,0,virtual,2021-02-24
Eden Park School,Cranston,0,5 to 9,0,0,virtual,2021-02-24
Edgewood Highland School,Cranston,0,10 to 14,0,Fewer than five,virtual,2021-02-24
Edward S. Rhodes School,Cranston,0,5 to 9,0,0,virtual,2021-02-24
Garden City School,Cranston,0,5 to 9,0,0,virtual,2021-02-24
George J. Peters School,Cranston,Fewer than five,10 to 14,0,0,virtual,2021-02-24
Gladstone Street School,Cranston,Fewer than five,15 to 19,0,Fewer than five,virtual,2021-02-24
Glen Hills Elementary School,Cranston,0,5 to 9,0,Fewer than five,virtual,2021-02-24
Hope Highlands Middle School,Cranston,0,15 to 19,0,Fewer than five,virtual,2021-02-24
Hugh B. Bain Middle School,Cranston,Fewer than five,25 to 29,0,5 to 9,virtual,2021-02-24
NEL/CPS Construction Career Academy,Cranston,Fewer than five,5 to 9,0,0,virtual,2021-02-24
Oak Lawn School,Cranston,0,5 to 9,0,0,virtual,2021-02-24
Orchard Farms Elementary School,Cranston,0,10 to 14,0,0,virtual,2021-02-24
Park View Middle School,Cranston,0,30 to 34,0,Fewer than five,virtual,2021-02-24
Stadium Elementary School,Cranston,0,5 to 9,0,0,virtual,2021-02-24
Stone Hill School,Cranston,0,10 to 14,0,0,virtual,2021-02-24
Western Hills Middle School,Cranston,Fewer than five,35 to 39,0,Fewer than five,virtual,2021-02-24
William R. Dutemple School,Cranston,0,Fewer than five,0,0,virtual,2021-02-24
Woodridge School,Cranston,0,5 to 9,0,Fewer than five,virtual,2021-02-24
Ashton School,Cumberland,0,5 to 9,0,Fewer than five,virtual,2021-02-24
