"Notes"	"Month"	"Month Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Dec., 2018"	"2018/12"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	10	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	34	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	12	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"Pneumonia (J12-J18)"	"GR113-078"	10	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	25	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	20	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	10	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	12	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	14	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	16	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"Renal failure (N17-N19)"	"GR113-100"	16	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"All other diseases (Residual) "	"GR113-111"	160	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	65	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	57	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"Falls (W00-W19)"	"GR113-118"	23	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	29	Not Applicable	Not Applicable
"---"
"Dataset: Underlying Cause of Death, 1999-2018"
"Query Parameters:"
"States: Rhode Island (44)"
"Year/Month: 2018"
"Group By: Month; ICD-10 113 Cause List"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: May 17, 2020 11:11:20 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death"
"1999-2018 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2018, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/ucd-icd10.html on May 17, 2020 11:11:20 PM"
"---"
Messages:
"1. Totals and Percent of Total are disabled when data are grouped by 113 or 130 Cause Lists. Check Caveats below for more"
"information."
"2. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Footnotes:
"1. A '#' symbol preceding the label indicates a rankable cause of death. More information."
"---"
Caveats:
"1. Totals and Percent of Total are disabled when data are grouped by a 113 or 130 Cause List because both aggregate and detailed"
"values are displayed in the table. Also be aware that charts and maps containing both aggregate and detail data could be"
"misleading."
"2. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"
"due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/ucd.html#NotApplicableRates."
"3. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality."
"4. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Unreliable."
"5. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"
"in information available to individual states and probable errors. Caution should be used in interpreting these data. More"
"information can be found at: https://www.cdc.gov/nchs/maternal-mortality/."
